Value.date,Value.code,Value.open,Value.high,Value.low,Value.close,Value.change,Value.pctChange,Value.accumulatedVol,Value.accumulatedVal,Value.nmVolume,Value.nmValue,Value.ptVolume,Value.ptValue
2023-06-14,VNINDEX,1124.56,1129.49,1117.42,1117.42,-5.04,-0.449014,928596018,1.71307E+13,845985495,1.51558E+13,82610523,1.97488E+12
2023-06-13,VNINDEX,1117.43,1122.46,1116.1,1122.46,6.44,0.577051,943763990,1.74438E+13,870632388,1.5311E+13,73131602,2.1328E+12
2023-06-12,VNINDEX,1110.26,1116.02,1100.08,1116.02,8.49,0.766571,798173949,1.52726E+13,726468075,1.36685E+13,71705874,1.60409E+12
2023-06-09,VNINDEX,1103.11,1107.53,1097.23,1107.53,6.21,0.563869,902410724,1.65312E+13,839932690,1.50854E+13,62478034,1.44576E+12
2023-06-08,VNINDEX,1111.86,1115.14,1101.32,1101.32,-8.22,-0.740848,1325164462,2.36949E+13,1211918881,2.10172E+13,113245581,2.6777E+12
2023-06-07,VNINDEX,1111.67,1112.28,1104.26,1109.54,1.23,0.11098,1000911950,1.80878E+13,930633273,1.65212E+13,70278677,1.56657E+12
2023-06-06,VNINDEX,1099.99,1108.31,1098.28,1108.31,10.49,0.95553,842954585,1.56471E+13,782875254,1.43497E+13,60079331,1.29748E+12
2023-06-05,VNINDEX,1100.2,1103.81,1096.76,1097.82,6.98,0.639874,948581116,1.75657E+13,894192735,1.6321E+13,54388381,1.24471E+12
2023-06-02,VNINDEX,1084.19,1092.24,1083.36,1090.84,12.45,1.154499,1037653812,1.83546E+13,973612380,1.6886E+13,64041432,1.46861E+12
2023-06-01,VNINDEX,1076.27,1078.39,1071.61,1078.39,3.22,0.299488,857008702,1.38649E+13,820389002,1.29024E+13,36619700,9.62584E+11
2023-05-31,VNINDEX,1078.39,1079.11,1071.38,1075.17,-2.88,-0.267149,924559418,1.58225E+13,861971144,1.41056E+13,62588274,1.71686E+12
2023-05-30,VNINDEX,1078.82,1079.31,1071.01,1078.05,3.07,0.285587,923125409,1.6428E+13,816189869,1.36039E+13,106935540,2.82407E+12
2023-05-29,VNINDEX,1067.34,1077.18,1066.34,1074.98,11.22,1.054749,845051129,1.37917E+13,738649882,1.16483E+13,106401247,2.14339E+12
2023-05-26,VNINDEX,1067.24,1067.28,1063.76,1063.76,-0.87,-0.081719,640862279,1.08918E+13,595997567,9.42861E+12,44864712,1.46322E+12
2023-05-25,VNINDEX,1062.03,1065.5,1057.91,1064.63,2.84,0.267473,669662532,1.17068E+13,614247483,1.05464E+13,55415049,1.16034E+12
2023-05-24,VNINDEX,1069.13,1069.61,1060.6,1061.79,-4.06,-0.380917,794252179,1.37738E+13,682805457,1.13611E+13,111446722,2.41271E+12
2023-05-23,VNINDEX,1073.12,1073.96,1062.15,1065.85,-4.79,-0.447396,722141715,1.28645E+13,668754534,1.18463E+13,53387181,1.01815E+12
2023-05-22,VNINDEX,1067.32,1070.64,1065.88,1070.64,3.57,0.334561,711259230,1.25356E+13,634216270,1.10112E+13,77042960,1.52443E+12
2023-05-19,VNINDEX,1070.13,1070.15,1058.56,1067.07,-1.24,-0.116071,755637717,1.33642E+13,661785720,1.05883E+13,93851997,2.77593E+12
2023-05-18,VNINDEX,1063.66,1073.41,1060.94,1068.31,7.87,0.742145,649674232,1.17418E+13,591022160,1.02555E+13,58652072,1.48632E+12
2023-05-17,VNINDEX,1066.27,1069.95,1060.44,1060.44,-5.47,-0.513177,836989110,1.32757E+13,762344051,1.16475E+13,74645059,1.62816E+12
