Currency,Date,Closing Price (VND),Open (VND),High (VND),Low (VND),,,
VNINDEX,1/2/2013,418.35,415.5,419.05,414.41,,,
VNINDEX,1/3/2013,419.27,420.68,420.68,413.68,,,
VNINDEX,1/4/2013,426.06,418.75,426.48,417.5,,,
VNINDEX,1/7/2013,434.19,428.53,434.64,426.86,,,
VNINDEX,1/8/2013,447.16,437.25,447.16,437.15,,,
VNINDEX,1/9/2013,448.77,447.16,457.75,442.26,,,
VNINDEX,1/10/2013,460.12,447.99,460.12,444.08,,,
VNINDEX,1/11/2013,462.69,468.39,469.16,461.74,,,
VNINDEX,1/14/2013,458.97,458.08,462.08,455.51,,,
VNINDEX,1/15/2013,461.42,459.24,461.42,455.93,,,
VNINDEX,1/16/2013,465.25,462.17,470.34,462.17,,,
VNINDEX,1/17/2013,456.76,465.66,466.55,456.76,,,
VNINDEX,1/18/2013,454.16,458.21,459.82,450.28,,,
VNINDEX,1/21/2013,447.79,453.91,456.34,447.79,,,
VNINDEX,1/22/2013,442.85,449.01,450.8,441.24,,,
VNINDEX,1/23/2013,443.37,443.96,447.79,440.48,,,
VNINDEX,1/24/2013,452.4,444.34,452.4,444.19,,,
VNINDEX,1/25/2013,468.09,455.28,468.09,455.25,,,
VNINDEX,1/28/2013,479.6,474.27,485.67,474.27,,,
VNINDEX,1/29/2013,484.01,478.02,484.34,476.33,,,
VNINDEX,1/30/2013,487.6,486.67,490.89,482.76,,,
VNINDEX,1/31/2013,479.79,484.04,485.19,479.79,,,
VNINDEX,2/1/2013,483.42,477.11,483.42,473.23,,,
VNINDEX,2/4/2013,482.38,487.06,488.96,482.38,,,
VNINDEX,2/5/2013,477.36,481.82,482.56,477.36,,,
VNINDEX,2/6/2013,488.36,479.62,488.62,479.62,,,
VNINDEX,2/7/2013,490.62,490.88,493.72,488.03,,,
VNINDEX,2/8/2013,494.03,491.85,495.72,489.64,,,
VNINDEX,2/18/2013,493.95,497.87,497.87,493.95,,,
VNINDEX,2/19/2013,490.78,493.4,495.39,490.33,,,
VNINDEX,2/20/2013,494.83,487.99,495.82,487.68,,,
VNINDEX,2/21/2013,476.73,494.83,497.7,476.73,,,
VNINDEX,2/22/2013,477.69,482.03,487.11,470.23,,,
VNINDEX,2/25/2013,483.69,481.67,483.97,478.3,,,
VNINDEX,2/26/2013,465.05,482.5,482.5,463.64,,,
VNINDEX,2/27/2013,465.72,465.89,467.5,459.64,,,
VNINDEX,2/28/2013,474.56,465.72,476.41,465.72,,,
VNINDEX,3/1/2013,477.15,476.51,480.39,475.46,,,
VNINDEX,3/4/2013,468.74,477.04,479.06,468.74,,,
VNINDEX,3/5/2013,462.12,467.36,467.84,461.61,,,
VNINDEX,3/6/2013,471.09,466.96,471.09,464.19,,,
VNINDEX,3/7/2013,466.63,470.73,472.54,466.63,,,
VNINDEX,3/8/2013,470.68,468.1,471.75,468.1,,,
VNINDEX,3/11/2013,476.5,471.29,476.79,469.78,,,
VNINDEX,3/12/2013,475.34,475.23,478.67,470.51,,,
VNINDEX,3/13/2013,473.18,476.43,478.05,471.85,,,
VNINDEX,3/14/2013,474.6,471.63,474.6,470.81,,,
VNINDEX,3/15/2013,481.35,474.99,481.35,474.45,,,
VNINDEX,3/18/2013,479.13,481.53,482.59,478.54,,,
